HGNC symbol	EntrezGene ID
RN7SL869P	
RPL30P13	
RNU6-1188P	
MIR563	693148
SNORD115-14	100033451
RNU6-922P	
RN7SL62P	
RNA5SP498	
RNA5SP179	
DUXA	503835
EGFL8	80864
MARVELD3	91862
C5orf56	
SNTB1	6641
RNU6-978P	
ZRANB2-AS2	100852410
RNU4-65P	
AFAP1-AS1	84740
RNU6-913P	
MIR8076	102466253
RNF39	80352
RN7SL361P	
RN7SKP139	
MMP13	4322
RN7SKP144	
RNU6-270P	
RNU6-657P	
ZNF695	57116
RN7SL507P	
RNU6-724P	
MIR4498	100616179
MIR6128	102465135
PRDM8	56978
RNA5SP431	
PHYHIP	9796
MIR4637	100616271
SPCS3	60559
MIR579	693164
RNA5SP34	
RN7SL334P	
RNU6-34P	
LINC01624	401289
RNU4-27P	
RN7SKP49	
MIR4674	100616301
RNU1-11P	
ERMN	57471
RNA5SP230	
SNORA33	594839
SNORA7A	619563
MIR4799	100616246
RNA5SP303	
C12orf40	283461
ZNF581	51545
RNU6-89P	
SPDYE14P	
MIR380	494329
MIR1262	100302279
RNU6-1200P	
RNU6-1216P	
APEH	327
RNU6-918P	
FCF1	51077
PRAM1	84106
MIR4735	100616363
RN7SL698P	
MIR6729	102466982
RNU6-177P	
RN7SKP4	
MIR217	406999
RNU6-886P	
RNU7-107P	
GAPDHP31	
FRG2FP	
RNU6-381P	
DYDC1	143241
RNU6-1183P	
MIR625	693210
SIDT1	54847
MIR6761	102465456
ATP6V1B1	525
RN7SL632P	
RNU6-1249P	
MIR548F1	100302192
WDR92	116143
MIR320C2	100302195
RNU6-199P	
HCG23	414764
MAN2B1	4125
MIR4473	100616229
MIR5003	100847029
RNU1-21P	
RN7SKP132	
RNU6-266P	
SNORD13P3	
MIR539	664612
HIST1H2BK	85236
DEFB116	245930
RN7SL388P	
RN7SL530P	
OR55B1P	
RRH	10692
MIR3688-2	100616303
MIR4715	100616474
DUX4L31	
OR5AP1P	
RPS2P36	
TBCC	6903
MIR4277	100422966
RN7SL152P	
RNA5SP512	
	102724539
TUSC8	
	101927018
RNA5SP39	
PPIAP3	
KRTAP5-AS1	338651
MIR338	442906
B3GALNT2P1	
RNA5SP180	
MIR1273H	102466247
SNORD115-48	100033822
MIR3976	100616244
HAUS6P1	
MIR4684	100616391
RPL23AP71	
ATP5F1P2	
MIR4688	100616368
RNU6-625P	
RNU6-1307P	
MIR561	693146
MIR181C	406957
RN7SKP199	
CMTM6	54918
MIR3174	100422841
RN7SL817P	
RNU1-65P	
RNU6-501P	
RNU6-344P	
RNU6-1329P	
RPS2P45	
DEFA8P	449491
GXYLT2	727936
MIR3617	100500897
CT45A6	541465
MIR642B	100500845
QPRT	23475
QPRT	105369247
MIR6868	102466753
RNU4-44P	
RNA5SP65	
KRTAP2-2	728279
LINC00929	503519
CCNB2P1	
RNU6-238P	
	100507388
SNORD121B	101340252
MARK2P11	
MIR516A1	574498
RNU6-209P	
MORN2	729967
NACA2	342538
ADGRF5P2	
LRRC53	105378803
RNU6-1303P	
RN7SL508P	
LINC00208	
MIR1275	100302123
MIR5192	100847087
TRAJ49	
OSCAR	126014
IGKV1D-42	
RN7SKP76	
RNA5SP476	
TRBVA	
MIR4778	100616464
MIR605	693190
RNU6-1108P	
MIR4439	100616207
RN7SKP226	
TRAJ19	
UGT1A9	54600
RN7SL516P	
MIR1302-8	100302223
RNU6-193P	
RNU6-732P	
RNU6-1227P	
RNA5SP60	
MIR6828	102465497
GPR89P	
CTNNA1	1495
RNA5SP302	
MIR4419A	100616177
ABI3	51225
MIR4797	100616216
PARM1	25849
HTR1DP1	
RN7SKP250	
MIR9500	103504730
RNU6-179P	
TNFRSF18	8784
RNU6-1320P	
MIR3927	100500898
SH3BGRL3	83442
TENM4	26011
RNA5SP73	
ADRA2C	152
RN7SKP124	
RDH5	5959
MIR153-1	406944
MIR3139	100423017
SDAD1	55153
TRBV27	
RNU4-74P	
RN7SL309P	
CYP21A2	1589
MIR7849	102465837
MIR6726	102465434
ADD3-AS1	
MIR1913	100302141
MIR6740	102465443
CHIAP2	149620
RNU6-517P	
MIR5095	100616458
KIR3DL3	115653
RN7SL568P	
	148413
MIR1912	100302144
DDT	1652
DDT	100037417
MIR6769B	102466202
MIR4297	100422873
RNA5SP297	
SRGAP2B	647135
ERRFI1	54206
MIR1277	100302214
RNU7-75P	
MIR3160-2	100422825
RNU4-70P	
RNU7-27P	
RNU6-22P	
MIR4703	100616423
RNU6-5P	
RNU6-1115P	
GOLGA1	2800
RNU6-492P	
RNU1-142P	
BPIFC	254240
SFMBT1	51460
ANKRD30A	91074
RNA5SP346	
MIR496	574454
RN7SL167P	
C1orf226	400793
